145,1903
1809,239
785,1263
1297,751
273,1775
1553,495
529,1519
1041,1007
17,2031
2017,31
993,1055
1505,543
481,1567
1761,287
737,1311
1249,799
225,1823
1889,159
865,1183
1377,671
353,1695
1633,415
609,1439
1121,927
97,1951
1953,95
929,1119
1441,607
417,1631
1697,351
673,1375
1185,863
161,1887
1825,223
801,1247
1313,735
289,1759
1569,479
545,1503
1057,991
33,2015
1985,63
961,1087
1473,575
449,1599
1729,319
705,1343
1217,831
193,1855
1857,191
833,1215
1345,703
321,1727
1601,447
577,1471
1089,959
65,1983
1921,127
897,1151
1409,639
385,1663
1665,383
641,1407
1153,895
129,1919
1793,255
769,1279
1281,767
257,1791
1537,511
513,1535
1025,1023
1,2047
