0,1024
512,1536
1280,768
256,1792
1664,384
640,1408
1152,896
128,1920
1856,192
832,1216
1344,704
320,1728
1600,448
576,1472
1088,960
64,1984
1952,96
928,1120
1440,608
416,1632
1696,352
672,1376
1184,864
160,1888
1824,224
800,1248
1312,736
288,1760
1568,480
544,1504
1056,992
32,2016
2000,48
976,1072
1488,560
464,1584
1744,304
720,1328
1232,816
208,1840
1872,176
848,1200
1360,688
336,1712
1616,432
592,1456
1104,944
80,1968
1936,112
912,1136
1424,624
400,1648
1680,368
656,1392
1168,880
144,1904
1808,240
784,1264
1296,752
272,1776
1552,496
528,1520
1040,1008
16,2032
2024,24
1000,1048
1512,536
488,1560
1768,280
744,1304
1256,792
232,1816
1896,152
872,1176
1384,664
360,1688
1640,408
616,1432
1128,920
104,1944
1960,88
936,1112
1448,600
424,1624
1704,344
680,1368
1192,856
168,1880
1832,216
808,1240
1320,728
296,1752
1576,472
552,1496
1064,984
40,2008
1992,56
968,1080
1480,568
456,1592
1736,312
712,1336
1224,824
200,1848
1864,184
840,1208
1352,696
328,1720
1608,440
584,1464
1096,952
72,1976
1928,120
904,1144
1416,632
392,1656
1672,376
648,1400
1160,888
136,1912
1800,248
776,1272
1288,760
264,1784
1544,504
520,1528
1032,1016
8,2040
2036,12
1012,1036
1524,524
500,1548
1780,268
756,1292
1268,780
244,1804
1908,140
884,1164
1396,652
372,1676
1652,396
628,1420
1140,908
116,1932
1972,76
948,1100
1460,588
436,1612
1716,332
692,1356
1204,844
180,1868
1844,204
820,1228
1332,716
308,1740
1588,460
564,1484
1076,972
52,1996
2004,44
980,1068
1492,556
468,1580
1748,300
724,1324
1236,812
212,1836
1876,172
852,1196
1364,684
340,1708
1620,428
596,1452
1108,940
84,1964
1940,108
916,1132
1428,620
404,1644
1684,364
660,1388
1172,876
148,1900
1812,236
788,1260
1300,748
276,1772
1556,492
532,1516
1044,1004
20,2028
2020,28
996,1052
1508,540
484,1564
1764,284
740,1308
1252,796
228,1820
1892,156
868,1180
1380,668
356,1692
1636,412
612,1436
1124,924
100,1948
1956,92
932,1116
1444,604
420,1628
1700,348
676,1372
1188,860
164,1884
1828,220
804,1244
1316,732
292,1756
1572,476
548,1500
1060,988
36,2012
1988,60
964,1084
1476,572
452,1596
1732,316
708,1340
1220,828
196,1852
1860,188
836,1212
1348,700
324,1724
1604,444
580,1468
1092,956
68,1980
1924,124
900,1148
1412,636
388,1660
1668,380
644,1404
1156,892
132,1916
1796,252
772,1276
1284,764
260,1788
1540,508
516,1532
1028,1020
4,2044
2042,6
1018,1030
1530,518
506,1542
1786,262
762,1286
1274,774
250,1798
1914,134
890,1158
1402,646
378,1670
1658,390
634,1414
1146,902
122,1926
1978,70
954,1094
1466,582
442,1606
1722,326
698,1350
1210,838
186,1862
1850,198
826,1222
1338,710
314,1734
1594,454
570,1478
1082,966
58,1990
2010,38
986,1062
1498,550
474,1574
1754,294
730,1318
1242,806
218,1830
1882,166
858,1190
1370,678
346,1702
1626,422
602,1446
1114,934
90,1958
1946,102
922,1126
1434,614
410,1638
1690,358
666,1382
1178,870
154,1894
1818,230
794,1254
